gene,AB5075_UT1,AB5075_T1,AB5075_UT2,AB5075_T2,AB5075_UT,AB5075_T3
ABUW_1898,0,1007,285,494,552,1204
ABUW_1899,1,697,367,612,671,1208
ABUW_1900,51,0,1,2,0,1
ABUW_1901,1,60,134,1587,1124,9697
sndH2,20,815,4116,8311,1958,1661
ABUW_1903,3,1317,3928,5826,6903,2470
ABUW_1904,0,559,7582,12674,3404,1782
ABUW_1905,0,392,3396,5264,2627,1951
ABUW_1906,0,66,3,30,6,354
gdhB1,0,17,34,168,32,491
ABUW_1908,0,73,101,438,49,1713
ABUW_1909,0,4,450,704,211,963
ABUW_1910,0,0,1,1,0,8
ABUWs035,5148,5,5,16,5,50
ABUW_1911,2102,5,25,22,8,58
ABUW_1912,1010,0,11,19,8,32
ABUW_1913,2271,3,55,45,54,34
ABUW_1914,1133,188,610,681,710,960
ABUW_1915,3,0,8,6,17,5
ABUW_1916,1769,0,0,0,0,1
ABUW_1917,763,63,39,18,221,1111
ABUW_1918,403,0,0,0,0,2
ABUW_1919,2186,0,1,0,4,3
ABUW_1920,1,0,0,0,0,0
ABUW_1921,240,25,6,1,40,150
ABUW_1922,1646,1,0,0,1,0
ABUW_1923,537,46,9,0,49,167
ABUW_1924,571,0,0,0,0,2
ABUW_1925,2704,436,288,202,326,1668
ABUW_1926,2158,0,0,0,0,0
ABUW_1927,112,225,955,987,796,2947
ABUW_1928,1419,124,781,625,733,2480
ABUW_1929,1774,97,898,633,737,1834
ABUW_1930,2978,2,0,0,0,19
ABUW_1931,242,141,2188,843,255,1184
ABUW_1932,8324,917,2364,1337,1207,2707
ABUW_1933,3209,212,2420,1194,1038,1765
ABUW_1934,8612,146,1507,949,378,741
ABUW_1935,2266,16988,9416,3922,20945,5739
ABUW_1936,1844,34,933,284,241,161
ABUW_1937,422,27,111,105,107,414
ABUW_1938,385,3726,9480,4403,9435,7245
ABUW_1939,2091,2130,1980,1414,1124,7218
ABUW_1940,42,1935,8261,5148,3708,17300
ABUW_1941,354,1152,3334,1859,1205,4598
ABUW_1942,12,0,4,6,0,2
ABUW_1943,0,0,1,0,0,1
ABUW_1944,1103,295,3944,2078,791,2744
ABUW_1945,1913,17,313,238,106,669
ABUW_1946,7512,91,942,559,248,2186
ABUW_1947,1,29,277,193,111,581
ABUW_1948,600,36,340,327,394,637
ABUW_1949,735,154,937,608,793,1899
ABUW_1950,454,856,3106,1990,5299,6877
ABUW_1951,600,14,165,88,50,253
ABUW_1952,868,7,11,1,21,19
ABUW_1953,1,237,9839,4230,1256,1578
ABUW_1954,9330,25683,37079,14350,13121,9655
ABUW_1955,6483,101,171,109,118,388
ABUW_1956,1588,168,413,270,402,928
ABUW_1957,2958,215,63,71,181,194
ABUW_1958,2793,30,41,30,35,85
ABUWs036,2849,127,1246,386,1465,2139
ABUW_1959,2852,2,44,31,30,65
ABUW_1960,809,7,1,0,54,409
ABUW_1961,685,0,1,0,2,1
ABUW_1962,3331,2,0,0,1,1
ABUW_1963,0,0,1,0,0,14
ABUW_1964,179,0,0,0,0,0
ABUW_1965,20,0,0,0,0,5
ABUW_1966,145,0,0,0,84,4
ABUW_1967,737,161,3,0,19,1067
ABUW_1968,1227,0,1,0,0,22
ABUW_1969,1726,0,0,0,0,3
ABUW_1970,2468,10,0,0,1,97
ABUW_1971,2030,0,0,0,0,6
adeS,2,1262,28,5,1119,12481
adeR,3106,37,1,0,8,228
adeA,433,271,26,6,200,4840
adeB,4910,0,0,0,1,2
adeC,8182,0,0,0,0,8
ABUW_1977,1,69,0,0,5,329
ABUW_1978,7617,2,0,0,0,9
ABUW_1979,2519,322,55,34,246,1825
ABUW_1980,347,933,96,20,352,7071
ABUW_1981,439,17,2,0,1,18
ABUW_1982,226,24,6,0,128,1199
ABUW_1983,833,19,5,0,10,217
ABUW_1984,1946,2,0,0,5,25
ABUW_1985,467,20,0,0,14,73
ABUW_1986,726,0,0,0,0,0
ABUW_1987,2593,0,0,0,0,0
ABUW_1988,83,1,0,0,0,4
ABUW_1989,600,3,1,0,6,83
ABUW_1990,14,0,0,0,0,0
ABUW_1991,550,261,5697,5244,4258,5064
ABUW_1992,270,365,1656,581,527,971
ABUW_1993,5,206,1222,498,191,638
ABUW_1994,18,3701,1789,1166,2868,7155
ABUW_1995,6251,122,727,722,450,1969
ABUW_1996,31,0,6,2,0,8
ABUW_1997,207,331,1633,795,601,1503
ABUW_1998,8,70,765,498,1087,1152
ABUW_1999,14,52,196,157,74,395
ABUW_2000,17,6073,5215,4012,7473,3157
ABUW_2001,14,1,24,28,34,23
ABUW_2002,310,304,377,258,103,1444
ABUW_2003,9,421,1211,793,451,2460
ABUW_2004,2457,96,373,287,174,448
ABUW_2005,8,113,788,529,210,770
ABUW_2006,1396,121,1282,998,3112,2069
ABUW_2007,76,2979,9220,6448,11061,4270
ABUW_2008,8,5,143,57,22,92
ABUW_2009,0,91,479,457,668,1145
ABUW_2010,1,208,810,464,713,1530
ABUW_2011,656,446,1882,968,791,2471
ABUW_2012,1373,97,177,103,219,337
ABUW_2013,9,2156,6897,3280,3971,5803
ABUW_2014,5,1152,3442,1608,788,3195
ABUW_2015,6,575,7821,5283,1605,7243
ABUW_2016,217,409,759,707,1123,2996
ABUW_2017,11,234,1037,1183,867,2118
ABUW_2018,332,85,435,371,252,817
ABUW_2019,3,55,222,225,269,570
ABUW_2020,9,624,1314,919,933,1573
ABUW_2021,20,64,207,216,60,390
ABUW_2022,4,1,33,18,6,41
ABUW_2023,10,0,0,0,0,0
ABUW_2024,1,243,904,605,498,1576
ABUW_2025,3,662,1396,1247,918,1807
ABUW_2026,5,1070,7814,6915,5473,19279
ABUW_2027,17,0,1,4,0,1
ABUW_2028,22,107,1116,511,230,958
ABUW_2029,26,1084,631,554,1293,1319
ABUW_2030,32,163,1255,387,1270,1114
ABUW_2031,9,95,978,796,925,1787
ABUW_2032,2,856,1983,1207,1509,2565
ABUW_2033,16,1,0,0,0,0
ABUW_2034,2,947,2789,2391,2139,12796
ABUW_2035,0,5405,2792,1779,1579,10054
ABUW_2036,2,66,618,500,229,1270
ABUW_2037,0,1687,848,965,1447,6246
ABUW_2038,3,457,2125,1474,1157,3904
ABUW_2039,0,572,1279,1127,817,4069
ABUW_2040,2,585,1931,1145,1064,4738
ABUW_2041,3,35,614,304,223,737
ABUW_2042,4,38,899,530,572,596
ABUW_2043,1,572,2290,1917,1983,5568
ABUW_2044,3,0,0,0,0,0
ABUW_2045,11,432,550,238,646,866
ABUW_2046,5,138,86,71,57,197
ABUW_2047,8,14,90,62,95,116
ABUW_2048,18,345,332,278,205,586
ABUW_2049,15,377,567,396,184,825
ABUW_2050,2,415,600,333,280,938
ABUW_2051,2,1450,1750,1345,1410,2803
ABUW_2052,1,214,1299,823,634,1181
ABUW_2053,0,0,1,0,0,4
ABUW_2054,1,3656,935,1109,1440,4376
ABUW_2055,627,185,471,422,362,395
ABUW_2056,3,3815,2099,1053,2088,4700
adhC,8,1120,6126,3426,3606,5492
ABUW_2058,108,1,0,0,0,4
ABUW_2059,3,2425,6919,3251,4165,4904
ABUW_2060,0,924,1903,1577,566,1655
ABUWs037,0,73,132,44,108,51
ABUW_2061,523,19,255,226,75,133
ABUW_2062,173,1796,426,358,379,791
ABUW_2063,23,61,426,181,283,649
ABUW_2064,21,256,1168,1142,405,2018
ABUW_2065,276,75,428,355,195,794
acdP,27,365,477,558,137,1255
ABUWs038,74,284,5349,2323,2443,3481
pqqE,51,66,101,160,49,882
pqqD,117,866,531,846,296,2418
pqqC,86,32,41,57,26,518
pqqB,1501,271,589,758,305,1526
pqqA,1,243,335,356,442,1200
ppk1,616,6,9,11,12,23
ABUW_2073,363,177,230,241,500,92
ABUW_2074,80,416,3386,3132,2497,4932
ABUW_2075,148,6,518,157,2143,500
ABUW_2076,21,248,3583,836,7969,2297
modC,385,24,740,290,491,517
modB,154,97,54,35,99,386
modA,237,58,7,7,115,465
ABUW_2080,333,32,78,61,79,127
antA,707,996,1778,1114,931,3961
antB,696,15,23,15,4,60
antC,78,633,2052,3306,1948,2590
ABUW_2084,23,13,408,351,46,179
ABUW_2085,92,53,296,220,189,489
ABUW_2086,51,3,24,23,13,9
ABUW_2087,3,0,5,8,10,6
ABUW_2088,9,0,0,0,0,0
ABUW_2089,0,219,96,51,384,242
ABUW_2090,10,3,10,24,6,11
ABUW_2091,16,1,4,5,2,9
bdhA,1533,2,6,6,2,0
ABUW_2093,7802,156,201,298,340,354
ABUW_2094,2135,8,25,42,25,30
ABUW_2095,283,184,94,146,199,211
atoD,301,2,32,39,39,56
atoA,3986,0,7,13,21,19
atoE,2712,32,30,35,52,72
ABUW_2099,415,3,15,25,3,24
ABUW_2100,494,9,22,39,12,24
ABUW_2101,188,1,10,20,6,13
ABUW_2102,65,1,18,21,4,17
ABUW_2103,218,2,13,13,11,13
